bidder,total_bids,wins,win_rate
undertone,49,29.0,0.5918367346938775
teads,48,28.0,0.5833333333333334
onemobile,407,188.0,0.4619164619164619
sharethrough,139,64.0,0.460431654676259
pulsepoint,134,59.0,0.44029850746268656
appnexus,197,71.0,0.3604060913705584
rhythmone,246,87.0,0.35365853658536583
criteo,306,100.0,0.32679738562091504
33across,240,74.0,0.30833333333333335
medianet,384,108.0,0.28125
pubmatic,298,82.0,0.2751677852348993
emx_digital,169,43.0,0.25443786982248523
triplelift,232,54.0,0.23275862068965517
ix,464,102.0,0.21982758620689655
openx,197,42.0,0.2131979695431472
rubicon,178,26.0,0.14606741573033707
sovrn,102,10.0,0.09803921568627451
 ,1210,0.0,0.0
